transaction_date,ticker,id
01-14-2020,BABA,447
01-06-2020,NFLX,448
01-13-2020,PG,455
01-13-2020,BFAM,456
12-16-2019,CMCSA,468
12-11-2019,C,469
01-03-2020,RF,471
01-02-2020,ENTG,472
01-02-2020,ENTG,473
12-31-2019,ALB,474
12-31-2019,BAH,475
12-31-2019,DOW,476
12-31-2019,KMI,477
12-30-2019,URBN,478
12-23-2019,URBN,479
12-19-2019,ACA,480
12-19-2019,URBN,481
12-19-2019,URBN,482
12-18-2019,FDX,483
12-17-2019,PAA,484
12-16-2019,URBN,485
12-16-2019,ENTG,486
12-16-2019,LNG,487
12-13-2019,SUN,488
12-13-2019,URBN,489
12-12-2019,IP,490
12-11-2019,URBN,491
12-10-2019,PAA,492
12-10-2019,URBN,493
12-09-2019,TRGP,494
12-09-2019,TRGP,495
12-06-2019,URBN,496
12-05-2019,ALB,497
12-03-2019,URBN,498
12-03-2019,URBN,499
12-31-2019,BIV,500
12-31-2019,VFIJX,501
12-31-2019,SLB,502
12-31-2019,MPC,503
12-23-2019,TGBAX,504
12-23-2019,REZI,505
12-23-2019,KHC,506
12-23-2019,GTX,507
12-10-2019,PPL,508
12-17-2019,UAA,511
12-17-2019,UAA,512
12-17-2019,BP,513
12-19-2019,IBM,517
11-26-2019,KHC,518
12-02-2019,MDLZ,519
02-04-2019,EDIT,521
01-29-2019,MSFT,522
03-01-2019,DHR,523
06-25-2019,PYPL,524
10-11-2018,MTUM,537
11-19-2019,PRU,540
11-19-2019,BSTZ,541
12-04-2019,WFC,542
11-05-2019,GE,543
11-06-2019,ET,544
11-19-2019,NDAQ,545
11-19-2019,NDAQ,546
11-29-2019,URBN,550
11-26-2019,URBN,551
11-26-2019,URBN,552
11-21-2019,AM,553
11-20-2019,FEYE,554
11-20-2019,ALB,555
11-19-2019,ENTG,556
11-19-2019,FEYE,557
11-14-2019,SPY,558
11-14-2019,CTSH,559
11-14-2019,GPK,560
11-14-2019,XOM,561
11-12-2019,TCP,562
11-12-2019,CBS,563
11-12-2019,LGF-B,564
11-11-2019,BOIVF,565
11-11-2019,FDX,566
11-11-2019,CBS,567
11-11-2019,SPY,568
11-11-2019,DVN,569
11-11-2019,CBS,570
11-11-2019,RF,571
11-11-2019,LGF-B,572
11-11-2019,CBS,573
11-11-2019,SPY,574
11-11-2019,FDX,575
11-11-2019,DVN,576
11-11-2019,LGF-B,577
11-11-2019,LGF-B,578
11-08-2019,ALB,579
11-08-2019,ALB,580
11-08-2019,BOIVF,581
11-08-2019,FEYE,582
11-07-2019,BOIVF,583
11-07-2019,ACA,584
11-06-2019,BOIVF,585
11-04-2019,BOIVF,586
11-04-2019,MCD,594
11-04-2019,RTN,595
11-04-2019,MO,596
11-04-2019,TSM,597
11-04-2019,DRI,598
11-27-2019,PAGP,599
11-12-2019,MA,600
11-04-2019,NOC,601
11-04-2019,NOC,602
11-04-2019,DIS,603
11-05-2019,IVZ,605
11-05-2019,XOM,606
11-04-2019,TWO,607
11-04-2019,XOM,608
11-04-2019,EXC,609
11-04-2019,CVX,610
10-31-2018,BBT,612
08-01-2018,BBT,615
10-15-2019,MSFT,634
10-08-2019,RPM,637
10-29-2019,ALB,638
10-23-2019,NFLX,639
10-28-2019,PEP,640
10-28-2019,AAPL,641
10-28-2019,AAPL,642
10-28-2019,ALB,643
10-29-2019,DIS,644
10-30-2019,TCP,645
10-31-2019,ALB,646
